"Rank","Title","Meta","Link","CitedBy"
"1","N/A","","https://pubs.rsc.org/en/content/articlepdf/2024/dd/d4dd00065j","0"
"2","N/A","","https://chemrxiv.org/doi/pdf/10.26434/chemrxiv-2025-xq8v3","0"
"3","N/A","","https://www.nature.com/articles/s41598-025-11392-1.pdf","0"
"4","N/A","","https://www.explorationpub.com/uploads/Article/A100826/100826.pdf","0"
"5","N/A","","https://link.springer.com/content/pdf/10.1186/s13321-023-00752-6.pdf","0"
"6","N/A","","https://www.nature.com/articles/s41598-025-12758-1.pdf","0"
"7","Insight to the prediction of CO2 solubility in ionic liquids based on the interpretable machine learning model","A Yang, S Sun, Y Su, ZY Kong, J Ren… - Chemical Engineering …, 2024 - Elsevier","https://www.sciencedirect.com/science/article/pii/S0009250924005669","43"
"8","Prediction of CO2 solubility in aqueous amine solutions using machine learning method","B Liu, Y Yu, Z Liu, Z Cui, W Tian - Separation and Purification Technology, 2025 - Elsevier","https://www.sciencedirect.com/science/article/pii/S1383586624030454","31"
"9","Interpretable machine-learning for predicting power conversion efficiency of non-halogenated green solvent-processed organic solar cells based on Hansen solubility …","MH Lee - Solar Energy, 2023 - Elsevier","https://www.sciencedirect.com/science/article/pii/S0038092X23003821","18"
"10","N/A","","https://link.springer.com/content/pdf/10.1186/s13321-024-00911-3.pdf","0"
"11","N/A","","https://www.sciencedirect.com/science/article/pii/S2590156723000087","0"
"12","N/A","","https://link.springer.com/content/pdf/10.1186/s12915-023-01510-8.pdf","0"
"13","… of advanced model for Understanding the behavior of drug solubility in green solvents: machine learning modeling for small-molecule API solubility prediction","M Ghazwani, MY Begum, AM Naglah… - Journal of Molecular …, 2023 - Elsevier","https://www.sciencedirect.com/science/article/pii/S0167732223012503","30"
"14","Machine learning-assisted modeling study on the density and heat capacity of ionic liquid-organic solvent binary systems","X Liu, J Gao, Y Chen, Y Fu, Y Lei - Journal of Molecular Liquids, 2023 - Elsevier","https://www.sciencedirect.com/science/article/pii/S0167732223017786","32"
"15","N/A","","https://pubs.acs.org/doi/pdf/10.1021/acsomega.2c00642","0"
"16","Experiments and machine learning-based modeling for haloacetic acids rejection by nanofiltration: influence of solute properties and operating conditions","F Wang, W Wang, H Wang, Z Zhao, T Zhou… - Science of the Total …, 2023 - Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969723022295","23"
"17","Application of interpretable machine learning models to improve the prediction performance of ionic liquids toxicity","D Fan, K Xue, R Zhang, W Zhu, H Zhang, J Qi… - Science of The Total …, 2024 - Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969723067955","44"
"18","Dielectric constant prediction of pure organic liquids and their mixtures with water based on interpretable machine learning","J Deng, G Jia - Fluid Phase Equilibria, 2022 - Elsevier","https://www.sciencedirect.com/science/article/pii/S0378381222001662","25"
"19","Data-driven prediction of Janus/Core–Shell morphology in polymer particles: A machine-learning approach","B Esteki, M Masoomi, M Moosazadeh, CK Yoo - Langmuir, 2023 - ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.langmuir.2c03355","29"
"20","N/A","","https://www.osti.gov/pages/servlets/purl/2345312","0"
